Type,From,Supplier,Service,Cost,Status,Net Margin %
ACCOMMODATION,01/09/2026,Hemingways Nairobi,BB Double Deluxe Suite,1530,Quotation,30.01
ACCOMMODATION,01/09/2026,Hemingways Nairobi,BB Twin Deluxe Suite,1530,Quotation,30.01
ACCOMMODATION,03/09/2026,Elewana Loisaba Tented Camp,GPKG Double Safari Tent,3330.3,Quotation,39.99
ACCOMMODATION,03/09/2026,Elewana Loisaba Tented Camp,Conservancy Fees Adult (GPKG Double Safari Tent),1080,Quotation,0
ACCOMMODATION,03/09/2026,Elewana Loisaba Tented Camp,GPKG CIOR (Two Chd 12 to 17.99 yrs),2497.74,Quotation,39.97
ACCOMMODATION,03/09/2026,Elewana Loisaba Tented Camp,Conservancy Fees Child (3 to 17.99yrs) (GPKG CIOR (Two Chd 12 to 17.99 yrs)),540,Quotation,0
ACCOMMODATION,06/09/2026,Elewana Sand River Masai Mara,GPKG Family Tent,7759.65,Quotation,40
ACCOMMODATION,06/09/2026,Elewana Sand River Masai Mara,Masai Mara National Reserve Fees Adult (GPKG Family Tent),1200,Quotation,0
ACCOMMODATION,06/09/2026,Elewana Sand River Masai Mara,Masai Mara National Reserve Fees Child (9 to 17.99 years) (GPKG Family Tent),300,Quotation,0
ACCOMMODATION,09/09/2026,Elewana Serengeti Migration Camp,GPKG Double Safari Tent,4977.6,Quotation,47
ACCOMMODATION,09/09/2026,Elewana Serengeti Migration Camp,Concession Fee Adult (GPKG Double Safari Tent),566.4,Quotation,0
ACCOMMODATION,09/09/2026,Elewana Serengeti Migration Camp,Park Fee Adult (GPKG Double Safari Tent),660.8,Quotation,0
ACCOMMODATION,09/09/2026,Elewana Serengeti Migration Camp,GPKG CIOR (Two Chd 12 to 17.99 yrs),3733.2,Quotation,47
ACCOMMODATION,09/09/2026,Elewana Serengeti Migration Camp,Park Fees Child (5 to 15.99 yrs) (GPKG CIOR (Two Chd 12 to 17.99 yrs)),188.8,Quotation,2
